Reference,Value,Datasheet,Footprint,Qty,DNP,Digi-Key PN
C201,100uF,https://yageogroup.com/content/datasheet/asset/file/KEM_T2076_T52X-530,Capacitor_Tantalum_SMD:CP_EIA-7343-43_Kemet-X,1,,399-13127-1-ND
"C202,C203,C303,C403,C404,C501,C502,C503,C601,C602,C604,C605,C609,C611",0.1uF,https://product.tdk.com/en/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1005x7r1h104k050bb.pdf,Capacitors_SMD:C_0402,14,,445-5932-1-ND
"C204,C301",10uF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/2322/CL31B106KAHZW6E_Spec.pdf,Capacitors_SMD:C_1206,2,,1276-7031-1-ND
C302,10nF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/609/CL05B103KB5NNN_Spec.pdf,Capacitors_SMD:C_0402,1,,1276-1028-1-ND
C304,22uF,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/41/CL31B226MPHNNNE_Spec.pdf,Capacitors_SMD:C_1206,1,,1276-3148-1-ND
"C305,C406,C407,C504,C603,C606,C610",10uF,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R61A106KE69-01.pdf,Capacitors_SMD:C_0603,7,,445-C1608X5R1A106K080ACCT-ND
C401,3300pF,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM1555C1H332GE01-01A.pdf,Capacitors_SMD:C_0402,1,,490-GRM1555C1H332GE01DTR-ND
"C402,C405",10nF,https://www.yageo.com/en/Chart/Download/pdf/CC0603JRNPO9BN103,Capacitors_SMD:C_0402,2,,1276-1028-1-ND
"C607,C608",47pF,https://www.yageo.com/en/Chart/Download/pdf/CC0402JRNPO9BN470,Capacitors_SMD:C_0402,2,,311-1021-1-ND
"D201,D401",TVS,https://www.vishay.com/docs/88392/smbj.pdf,Diode_SMD:D_SMB,2,,SMBJ15CA
"D301,D402",BAT54SW,https://assets.nexperia.com/documents/data-sheet/BAT54W_SER.pdf,Package_TO_SOT_SMD:SOT-323_SC-70,2,,BAT54SWT1GOSCT-ND
D501,PESD5V0L4UF,https://assets.nexperia.com/documents/data-sheet/PESDXL4UF_G_W.pdf,Package_TO_SOT_SMD:SOT-886,1,,1727-5796-1-ND
D601,SP0502BAJTG,http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf,Package_TO_SOT_SMD:SOT-323_SC-70,1,,F3158CT-ND
D701,Inolux_IN-P55TATRGB,https://www.inolux-corp.com/datasheet/SMDLED/RGB%20Top%20View/IN-P55TATRGB.pdf,LED_SMD:LED_Inolux_IN-P55TATRGB_PLCC6_5.0x5.5mm_P1.8mm,1,,1830-1098-1-ND
"H805,H806,H807,H808,H809,H810,H811,H812",MountingScrew,https://apmhexseal.com/wp-content/uploads/APMShortCatalog-HEX-SC-01-Rev.-06.19.19.pdf,,8,,335-1156-ND
J201,VIN,https://www.keyelco.com/userAssets/file/K75p73.pdf,Custom Footprints Library:CONN_7691_KEY,1,,36-7691-ND
J401,TACH,https://www.keyelco.com/userAssets/file/K75p73.pdf,Custom Footprints Library:CONN_7691_KEY,1,,36-7691-ND
J501,PICKIT4,https://suddendocs.samtec.com/catalog_english/htsw_th.pdf,Custom Footprints Library:PICKIT4_Header,1,,SAM1051-08-ND
